Body Angle,Head Angle,Distance,Signal Strength
3,50,0,3300
2,50,0,3298
1,50,0,3298
0,50,0,3297
0,60,0,3294
1,60,0,3293
2,60,0,3291
3,60,0,3295
4,60,0,3294
5,60,0,3287
6,60,0,3302
7,60,0,3289
8,60,0,3286
9,60,0,3302
10,60,0,3306
11,60,0,3312
12,60,0,3301
13,60,0,3297
14,60,0,3297
15,60,0,3299
16,60,0,3296
17,60,0,3290
18,60,0,3295
19,60,0,3299
20,60,0,3305
21,60,0,3296
22,60,0,3298
23,60,0,3302
24,60,0,3289
25,60,0,3301
26,60,0,3301
27,60,0,3297
28,60,0,3297
29,60,0,3304
30,60,0,3308
31,60,0,3292
32,60,0,3302
33,60,0,3308
34,60,0,3299
35,60,0,3311
36,60,0,3300
37,60,0,3312
38,60,0,3303
39,60,0,3308
40,60,0,3307
41,60,0,3301
42,60,0,3307
43,60,0,3306
44,60,0,3299
45,60,0,3303
46,60,0,3296
47,60,0,3288
48,60,0,3299
49,60,0,3296
50,60,0,3297
51,60,0,3292
52,60,0,3293
53,60,0,3296
54,60,0,3304
55,60,0,3296
56,60,0,3302
57,60,0,3289
58,60,0,3300
59,60,0,3304
60,60,0,3301
61,60,0,3296
62,60,0,3310
63,60,0,3298
64,60,0,3300
65,60,0,3298
66,60,0,3294
67,60,0,3291
68,60,0,3298
69,60,0,3300
70,60,0,3303
71,60,0,3290
72,60,0,3291
73,60,0,3290
74,60,0,3285
75,60,0,3282
76,60,0,3292
77,60,0,3288
78,60,0,3294
79,60,0,3291
80,60,0,3295
81,60,0,3288
82,60,0,3293
83,60,0,3287
84,60,0,3292
85,60,0,3292
86,60,0,3286
87,60,0,3278
88,60,0,3289
89,60,0,3286
90,60,0,3287
91,60,0,3285
92,60,0,3297
93,60,0,3295
94,60,0,3291
95,60,0,3301
96,60,0,3301
97,60,0,3288
98,60,0,3291
99,60,0,3292
100,60,0,3302
101,60,0,3294
102,60,0,3298
103,60,0,3297
104,60,0,3292
105,60,0,3303
106,60,0,3297
107,60,0,3304
108,60,0,3293
109,60,0,3297
110,60,0,3300
111,60,0,3300
112,60,0,3294
113,60,0,3297
114,60,0,3296
115,60,0,3294
116,60,0,3288
117,60,0,3287
118,60,0,3285
119,60,0,3291
120,60,0,3290
121,60,0,3291
122,60,0,3298
123,60,0,3296
124,60,0,3297
125,60,0,3299
126,60,0,3299
127,60,0,3289
128,60,0,3295
129,60,0,3303
130,60,0,3287
131,60,0,3296
132,60,0,3304
133,60,0,3303
134,60,0,3303
135,60,0,3297
136,60,0,3304
137,60,0,3300
138,60,0,3301
139,60,0,3287
140,60,0,3288
141,60,0,3302
142,60,0,3296
143,60,0,3297
144,60,0,3299
145,60,0,3297
146,60,0,3302
147,60,0,3298
148,60,0,3300
149,60,0,3293
150,60,0,3297
151,60,0,3298
152,60,0,3304
153,60,0,3293
154,60,0,3308
155,60,0,3303
156,60,0,3304
157,60,0,3292
158,60,0,3300
159,60,0,3296
160,60,0,3292
161,60,0,3294
162,60,0,3298
163,60,0,3292
164,60,0,3305
165,60,0,3309
166,60,0,3292
167,60,0,3289
168,60,0,3306
169,60,0,3300
170,60,0,3312
171,60,0,3299
172,60,0,3301
173,60,0,3300
174,60,0,3289
175,60,0,3295
176,60,0,3284
177,60,0,3291
178,60,0,3289
179,60,0,3295
180,60,0,3293
180,70,0,3297
179,70,0,3300
178,70,0,3294
177,70,0,3292
176,70,0,3295
175,70,0,3292
174,70,0,3294
173,70,0,3298
172,70,0,3305
171,70,0,3294
170,70,0,3290
169,70,0,3287
168,70,0,3293
167,70,0,3294
166,70,0,3286
165,70,0,3294
164,70,0,3301
163,70,0,3306
162,70,0,3294
161,70,0,3296
160,70,0,3295
159,70,0,3301
158,70,0,3305
157,70,0,3302
156,70,0,3300
155,70,0,3305
154,70,0,3296
153,70,0,3301
152,70,0,3291
151,70,0,3298
150,70,0,3302
149,70,0,3300
148,70,0,3296
147,70,0,3293
146,70,0,3295
145,70,0,3289
144,70,0,3289
143,70,0,3287
142,70,0,3296
141,70,0,3289
140,70,0,3283
139,70,0,3295
138,70,0,3293
137,70,0,3289
136,70,0,3292
135,70,0,3296
134,70,0,3287
133,70,0,3291
132,70,0,3286
131,70,0,3292
130,70,0,3290
129,70,0,3296
128,70,0,3288
127,70,0,3287
126,70,0,3288
125,70,0,3291
124,70,0,3288
123,70,0,3289
122,70,0,3290
121,70,0,3297
120,70,0,3303
119,70,0,3292
118,70,0,3294
117,70,0,3294
116,70,0,3295
115,70,0,3303
114,70,0,3295
113,70,0,3301
112,70,0,3292
111,70,0,3294
110,70,0,3306
109,70,0,3293
108,70,0,3296
107,70,0,3299
106,70,0,3292
105,70,0,3286
104,70,0,3293
103,70,0,3299
102,70,0,3294
101,70,0,3292
100,70,0,3295
99,70,0,3299
98,70,0,3297
97,70,0,3307
96,70,0,3296
95,70,0,3301
94,70,0,3294
93,70,0,3306
92,70,0,3300
91,70,0,3298
90,70,0,3301
89,70,0,3288
88,70,0,3306
87,70,0,3291
86,70,0,3299
85,70,0,3291
84,70,0,3299
83,70,0,3298
82,70,0,3293
81,70,0,3296
80,70,0,3295
79,70,0,3308
78,70,0,3298
77,70,0,3291
76,70,0,3296
75,70,0,3291
74,70,0,3301
73,70,0,3304
72,70,0,3287
71,70,0,3298
70,70,0,3294
69,70,0,3288
68,70,0,3288
67,70,0,3288
66,70,0,3301
65,70,0,3293
64,70,0,3291
63,70,0,3296
62,70,0,3300
61,70,0,3289
60,70,0,3301
59,70,0,3293
58,70,0,3300
57,70,0,3295
56,70,0,3299
55,70,0,3294
54,70,0,3288
53,70,0,3296
52,70,0,3290
51,70,0,3302
50,70,0,3294
49,70,0,3297
48,70,0,3294
47,70,0,3298
46,70,0,3292
45,70,0,3302
44,70,0,3302
43,70,0,3300
42,70,0,3297
41,70,0,3297
40,70,0,3291
39,70,0,3299
38,70,0,3293
37,70,0,3289
36,70,0,3294
35,70,0,3304
34,70,0,3296
33,70,0,3291
32,70,0,3294
31,70,0,3293
30,70,0,3287
29,70,0,3292
28,70,0,3294
27,70,0,3298
26,70,0,3287
25,70,0,3296
24,70,0,3297
23,70,0,3277
22,70,0,3287
21,70,0,3283
20,70,0,3281
19,70,0,3276
18,70,0,3278
17,70,0,3287
16,70,0,3283
15,70,0,3285
14,70,0,3282
13,70,0,3292
12,70,0,3281
11,70,0,3283
10,70,0,3282
9,70,0,3284
8,70,0,3283
7,70,0,3277
6,70,0,3270
5,70,0,3284
4,70,0,3279
3,70,0,3280
2,70,0,3271
1,70,0,3284
0,70,0,3277
0,80,0,3279
1,80,0,3272
2,80,0,3272
3,80,0,3284
4,80,0,3281
5,80,0,3292
6,80,0,3275
7,80,0,3282
8,80,0,3270
9,80,0,3269
10,80,0,3276
11,80,0,3281
12,80,0,3282
13,80,0,3290
14,80,0,3281
15,80,0,3272
16,80,0,3275
17,80,0,3273
18,80,0,3275
19,80,0,3272
20,80,0,3271
21,80,0,3271
22,80,0,3272
23,80,0,3277
24,80,0,3273
25,80,0,3276
26,80,0,3271
27,80,0,3276
28,80,0,3281
29,80,0,3278
30,80,0,3277
31,80,0,3288
32,80,0,3283
33,80,0,3293
34,80,0,3289
35,80,0,3296
36,80,0,3295
37,80,0,3302
38,80,0,3299
39,80,0,3293
40,80,0,3289
41,80,0,3304
42,80,0,3294
43,80,0,3287
44,80,0,3298
45,80,0,3291
46,80,0,3292
47,80,0,3286
48,80,0,3285
49,80,0,3286
50,80,0,3289
51,80,0,3285
52,80,0,3293
53,80,0,3289
54,80,0,3293
55,80,0,3284
56,80,0,3278
57,80,0,3283
58,80,0,3285
59,80,0,3278
60,80,0,3275
61,80,0,3280
62,80,0,3276
63,80,0,3278
64,80,0,3283
65,80,0,3273
66,80,0,3286
67,80,0,3279
68,80,0,3281
69,80,0,3281
70,80,0,3279
71,80,0,3287
72,80,0,3279
73,80,0,3292
74,80,0,3291
75,80,0,3284
76,80,0,3278
77,80,0,3286
78,80,0,3288
79,80,0,3278
80,80,0,3282
81,80,0,3284
82,80,0,3283
83,80,0,3277
84,80,0,3275
85,80,0,3282
86,80,0,3287
87,80,0,3280
88,80,0,3283
89,80,0,3277
90,80,0,3286
91,80,0,3281
92,80,0,3276
93,80,0,3278
94,80,0,3278
95,80,0,3285
96,80,0,3275
97,80,0,3282
98,80,0,3288
99,80,0,3272
100,80,0,3287
101,80,0,3279
102,80,0,3278
103,80,0,3282
104,80,0,3281
105,80,0,3282
106,80,0,3275
107,80,0,3273
108,80,0,3290
109,80,0,3279
110,80,0,3287
111,80,0,3287
112,80,0,3279
113,80,0,3283
114,80,0,3278
115,80,0,3284
116,80,0,3270
117,80,0,3278
118,80,0,3284
119,80,0,3292
120,80,0,3285
121,80,0,3277
122,80,0,3286
123,80,0,3276
124,80,0,3287
125,80,0,3284
126,80,0,3278
127,80,0,3294
128,80,0,3288
129,80,0,3282
130,80,0,3288
131,80,0,3283
132,80,0,3283
133,80,0,3282
134,80,0,3279
135,80,0,3283
136,80,0,3288
137,80,0,3290
138,80,0,3279
139,80,0,3287
140,80,0,3285
141,80,0,3300
142,80,0,3284
143,80,0,3296
144,80,0,3287
145,80,0,3283
146,80,0,3288
147,80,0,3280
148,80,0,3285
149,80,0,3283
150,80,0,3283
151,80,0,3284
152,80,0,3282
153,80,0,3274
154,80,0,3276
155,80,0,3279
156,80,0,3274
157,80,0,3280
158,80,0,3275
159,80,0,3292
160,80,0,3281
161,80,0,3278
162,80,0,3286
163,80,0,3291
164,80,0,3290
165,80,0,3290
166,80,0,3289
167,80,0,3284
168,80,0,3295
169,80,0,3290
170,80,0,3279
171,80,0,3284
172,80,0,3277
173,80,0,3285
174,80,0,3277
175,80,0,3287
176,80,0,3278
177,80,0,3285
178,80,0,3291
179,80,0,3284
180,80,0,3287
180,70,0,3285
179,70,0,3293
178,70,0,3290
177,70,0,3292
176,70,0,3284
175,70,0,3274
174,70,0,3278
173,70,0,3281
172,70,0,3275
171,70,0,3275
170,70,0,3272
169,70,0,3288
168,70,0,3279
167,70,0,3270
166,70,0,3275
165,70,0,3269
164,70,0,3278
163,70,0,3275
162,70,0,3280
161,70,0,3288
160,70,0,3284
159,70,0,3289
158,70,0,3278
157,70,0,3280
156,70,0,3285
155,70,0,3286
154,70,0,3279
153,70,0,3291
152,70,0,3282
151,70,0,3288
150,70,0,3295
149,70,0,3276
148,70,0,3278
147,70,0,3267
146,70,0,3278
145,70,0,3273
144,70,0,3268
143,70,0,3272
142,70,0,3284
141,70,0,3283
140,70,0,3268
139,70,0,3276
138,70,0,3273
137,70,0,3274
136,70,0,3274
135,70,0,3273
134,70,0,3273
133,70,0,3276
132,70,0,3276
131,70,0,3281
130,70,0,3275
129,70,0,3282
128,70,0,3272
127,70,0,3278
126,70,0,3279
125,70,0,3275
124,70,0,3279
123,70,0,3286
122,70,0,3291
121,70,0,3278
120,70,0,3277
119,70,0,3277
118,70,0,3271
117,70,0,3281
116,70,0,3275
115,70,0,3283
114,70,0,3285
113,70,0,3283
112,70,0,3279
111,70,0,3267
110,70,0,3272
109,70,0,3277
108,70,0,3276
107,70,0,3278
106,70,0,3286
105,70,0,3283
104,70,0,3285
103,70,0,3280
102,70,0,3287
101,70,0,3278
100,70,0,3288
99,70,0,3283
98,70,0,3277
97,70,0,3277
96,70,0,3273
95,70,0,3280
94,70,0,3269
93,70,0,3276
92,70,0,3283
91,70,0,3280
90,70,0,3277
89,70,0,3276
88,70,0,3275
87,70,0,3271
86,70,0,3278
85,70,0,3273
84,70,0,3275
83,70,0,3272
82,70,0,3281
81,70,0,3277
80,70,0,3280
79,70,0,3276
78,70,0,3281
77,70,0,3275
76,70,0,3276
75,70,0,3288
74,70,0,3277
73,70,0,3276
72,70,0,3282
71,70,0,3278
70,70,0,3280
69,70,0,3268
68,70,0,3276
67,70,0,3274
66,70,0,3281
65,70,0,3267
64,70,0,3270
63,70,0,3283
62,70,0,3279
61,70,0,3278
60,70,0,3267
59,70,0,3272
58,70,0,3281
57,70,0,3264
56,70,0,3271
55,70,0,3261
54,70,0,3264
53,70,0,3258
52,70,0,3264
51,70,0,3276
50,70,0,3276
49,70,0,3263
48,70,0,3262
47,70,0,3264
46,70,0,3269
45,70,0,3273
44,70,0,3276
43,70,0,3262
42,70,0,3272
41,70,0,3273
40,70,0,3275
39,70,0,3275
38,70,0,3272
37,70,0,3274
36,70,0,3278
35,70,0,3269
34,70,0,3273
33,70,0,3269
32,70,0,3269
31,70,0,3275
30,70,0,3274
29,70,0,3278
28,70,0,3284
27,70,0,3270
26,70,0,3268
25,70,0,3273
24,70,0,3267
23,70,0,3270
22,70,0,3282
21,70,0,3274
20,70,0,3275
19,70,0,3270
18,70,0,3275
17,70,0,3269
16,70,0,3279
15,70,0,3274
14,70,0,3263
13,70,0,3281
12,70,0,3273
11,70,0,3273
10,70,0,3269
9,70,0,3268
8,70,0,3273
7,70,0,3273
6,70,0,3273
5,70,0,3273
4,70,0,3265
3,70,0,3279
2,70,0,3279
1,70,0,3282
0,70,0,3272
0,60,0,3266
1,60,0,3276
2,60,0,3282
3,60,0,3274
4,60,0,3272
5,60,0,3268
6,60,0,3266
7,60,0,3272
8,60,0,3265
9,60,0,3278
10,60,0,3267
11,60,0,3277
12,60,0,3274
13,60,0,3271
14,60,0,3281
15,60,0,3275
16,60,0,3275
17,60,0,3274
18,60,0,3276
19,60,0,3276
20,60,0,3280
21,60,0,3263
22,60,0,3266
23,60,0,3273
24,60,0,3271
25,60,0,3279
26,60,0,3270
27,60,0,3271
28,60,0,3282
29,60,0,3270
30,60,0,3263
31,60,0,3272
32,60,0,3273
33,60,0,3270
34,60,0,3276
35,60,0,3274
36,60,0,3272
37,60,0,3280
38,60,0,3262
39,60,0,3265
40,60,0,3252
41,60,0,3275
42,60,0,3265
43,60,0,3274
44,60,0,3278
45,60,0,3272
46,60,0,3279
47,60,0,3274
48,60,0,3276
49,60,0,3269
50,60,0,3271
51,60,0,3277
52,60,0,3270
53,60,0,3271
54,60,0,3270
55,60,0,3278
56,60,0,3274
57,60,0,3280
58,60,0,3281
59,60,0,3271
60,60,0,3269
61,60,0,3271
62,60,0,3271
63,60,0,3276
64,60,0,3268
65,60,0,3268
66,60,0,3271
67,60,0,3270
68,60,0,3273
69,60,0,3271
70,60,0,3267
71,60,0,3274
72,60,0,3273
73,60,0,3273
74,60,0,3274
75,60,0,3269
76,60,0,3271
77,60,0,3266
78,60,0,3272
79,60,0,3271
80,60,0,3278
81,60,0,3277
82,60,0,3291
83,60,0,3271
84,60,0,3266
85,60,0,3278
86,60,0,3270
87,60,0,3275
88,60,0,3267
89,60,0,3268
90,60,0,3269
91,60,0,3275
92,60,0,3277
93,60,0,3267
94,60,0,3274
95,60,0,3263
96,60,0,3273
97,60,0,3265
98,60,0,3271
99,60,0,3276
100,60,0,3270
101,60,0,3272
102,60,0,3281
103,60,0,3273
104,60,0,3278
105,60,0,3271
106,60,0,3281
107,60,0,3290
108,60,0,3279
109,60,0,3273
110,60,0,3274
111,60,0,3271
112,60,0,3270
113,60,0,3276
114,60,0,3280
115,60,0,3271
116,60,0,3273
117,60,0,3275
118,60,0,3274
119,60,0,3272
120,60,0,3281
121,60,0,3271
122,60,0,3264
123,60,0,3272
124,60,0,3273
125,60,0,3275
126,60,0,3270
127,60,0,3267
128,60,0,3279
129,60,0,3273
130,60,0,3271
131,60,0,3266
132,60,0,3266
133,60,0,3266
134,60,0,3279
135,60,0,3273
136,60,0,3267
137,60,0,3269
138,60,0,3271
139,60,0,3271
140,60,0,3279
141,60,0,3265
142,60,0,3267
143,60,0,3271
144,60,0,3267
145,60,0,3276
146,60,0,3274
147,60,0,3264
148,60,0,3262
149,60,0,3276
150,60,0,3270
151,60,0,3275
152,60,0,3272
153,60,0,3266
154,60,0,3279
155,60,0,3266
156,60,0,3272
157,60,0,3266
158,60,0,3274
159,60,0,3272
160,60,0,3276
161,60,0,3276
162,60,0,3278
163,60,0,3271
164,60,0,3267
165,60,0,3276
166,60,0,3276
167,60,0,3275
168,60,0,3281
169,60,0,3277
170,60,0,3275
171,60,0,3278
172,60,0,3267
173,60,0,3274
174,60,0,3271
175,60,0,3271
176,60,0,3265
177,60,0,3272
178,60,0,3278
179,60,0,3274
180,60,0,3276
180,50,0,3285
179,50,0,3279
178,50,0,3278
177,50,0,3275
176,50,0,3285
175,50,0,3283
174,50,0,3277
173,50,0,3281
172,50,0,3284
171,50,0,3271
170,50,0,3282
169,50,0,3284
168,50,0,3279
167,50,0,3281
166,50,0,3272
165,50,0,3274
164,50,0,3271
163,50,0,3269
162,50,0,3268
161,50,0,3273
160,50,0,3273
159,50,0,3270
158,50,0,3277
157,50,0,3270
156,50,0,3270
155,50,0,3266
154,50,0,3280
153,50,0,3259
152,50,0,3266
151,50,0,3263
150,50,0,3272
149,50,0,3265
148,50,0,3271
147,50,0,3266
146,50,0,3265
145,50,0,3263
144,50,0,3269
143,50,0,3279
142,50,0,3272
141,50,0,3274
140,50,0,3271
139,50,0,3267
138,50,0,3276
137,50,0,3269
136,50,0,3276
135,50,0,3276
134,50,0,3274
133,50,0,3271
132,50,0,3272
131,50,0,3271
130,50,0,3275
129,50,0,3269
128,50,0,3275
127,50,0,3273
126,50,0,3273
125,50,0,3266
124,50,0,3272
123,50,0,3278
122,50,0,3281
121,50,0,3278
120,50,0,3284
119,50,0,3287
118,50,0,3280
117,50,0,3272
116,50,0,3279
115,50,0,3278
114,50,0,3267
113,50,0,3263
112,50,0,3270
111,50,0,3280
110,50,0,3270
109,50,0,3279
108,50,0,3268
107,50,0,3276
106,50,0,3274
105,50,0,3271
104,50,0,3273
103,50,0,3274
102,50,0,3270
101,50,0,3271
100,50,0,3273
99,50,0,3275
98,50,0,3277
97,50,0,3269
96,50,0,3278
95,50,0,3282
94,50,0,3279
93,50,0,3279
92,50,0,3279
91,50,0,3280
90,50,0,3275
89,50,0,3266
